,ccode,cname,con_true,labour_true,libdem_true,other_true,con_est,labour_est,libdem_est,other_est,winner,predicted_winner,correct
0,E14000530,Aldershot,58.3743629455566,23.5375118255615,14.4371194839478,3.65100574493408,36.6248676026663,18.4117561077838,10.6730356750414,9.73325205689676,con,con,1
1,E14000531,Aldridge-Brownhills,70.7894897460938,20.3700885772705,6.02663850784302,2.8137868642807,28.8518790626652,18.7111897471488,11.6879146109508,15.7888982942399,con,con,1
2,E14000532,Altrincham and Sale West,48.0452117919922,36.835090637207,11.0220403671265,4.09765720367432,28.9715327151916,15.2618199980632,20.8492306977282,13.7905185514337,con,con,1
3,E14000533,Amber Valley,63.8532295227051,26.7957057952881,6.30500173568726,3.04606413841248,30.7473739758132,23.2086297742243,7.7430179893422,14.7537559493383,con,con,1
4,E14000534,Arundel and South Downs,57.9175338745117,15.8318128585815,21.2431602478027,5.0074907541275,44.8794605919634,13.1329478131782,11.543496850918,9.87290333267086,con,con,1
5,E14000535,Ashfield,39.2629661560059,24.4405879974365,2.25602293014526,34.0404247045517,30.3666802871043,16.5420315085959,9.7020585251029,17.0780359820373,con,con,1
6,E14000536,Ashford,62.0556488037109,22.0466537475586,10.0700969696045,5.82760262489319,37.2800422989735,17.7804055522206,12.1132905980096,9.89557566401047,con,con,1
7,E14000537,Ashton-under-Lyne,37.0175476074219,48.0676040649414,3.61595678329468,11.2988932132721,24.9562970230709,25.902474324488,9.83448480062708,14.1900151063166,labour,labour,1
8,E14000538,Aylesbury,54.0428581237793,25.3631801605225,16.6419048309326,3.95206022262573,29.928807257167,14.7737684547332,16.1442587439647,13.2780258057776,con,con,1
9,E14000539,Banbury,54.2712287902832,27.5504207611084,14.035059928894,4.14329099655151,32.5010107835234,15.9150846404648,10.8103040256469,15.8951316500513,con,con,1
10,E14000540,Barking,26.4994716644287,61.1676712036133,3.33041167259216,9.00244951248169,20.4692126945877,33.1294896451113,11.5673489334851,10.8931539588081,labour,labour,1
11,E14000541,Barnsley Central,21.3857955932617,40.1159782409668,3.18673300743103,35.3114931583405,22.4403699691564,27.4966909148347,7.63129245359454,18.0495946937399,labour,labour,1
12,E14000542,Barnsley East,27.2576847076416,37.6385612487793,3.49356460571289,31.610191822052,22.5726753973201,17.2498151596989,8.66390675391209,23.1288516002488,labour,other,0
13,E14000543,Barrow and Furness,51.8524932861328,39.2802848815918,4.39777612686157,4.46944355964661,30.9473697837928,25.2425540669838,9.95806965266213,12.4025768685271,con,con,1
14,E14000544,Basildon and Billericay,67.054931640625,20.7985858917236,8.47761058807373,3.66887241601944,34.3473179147302,18.7867129926655,11.2590027579041,10.7209832826467,con,con,1
15,E14000545,Basingstoke,54.0876922607422,28.1377372741699,12.5034275054932,5.27114236354828,33.0820734465213,13.7452218372065,17.7220920240828,9.86636455449653,con,con,1
16,E14000546,Bassetlaw,55.2270812988281,27.6646785736084,6.55376529693604,10.5544738769531,26.8399134362906,23.1284323181949,10.8616879422125,15.2108352586339,con,con,1
17,E14000547,Bath,30.8738346099854,12.7335147857666,54.507266998291,1.88538110256195,25.3233562481855,12.8479585811466,28.7562688515394,10.1134621516714,libdem,libdem,1
18,E14000548,Batley and Spen,36.0288696289062,42.6889877319336,4.6516900062561,16.6304538249969,27.3563689340839,25.2765864881116,12.0262983079928,11.5113934644347,labour,con,0
19,E14000549,Battersea,36.0504875183105,45.5007743835449,15.2558479309082,3.19289070367813,22.590957124589,26.4408312796804,20.9204206469116,10.5280754928941,labour,labour,1
20,E14000550,Beaconsfield,56.1225547790527,9.94677543640137,,33.9306693077087,37.5435749725044,11.5910694068805,13.8185896586685,14.7195174788118,con,con,1
21,E14000551,Beckenham,53.9649887084961,25.7620429992676,16.2080898284912,4.06487989425659,31.0563827500633,18.058233339043,20.6721924024707,9.9425573270751,con,con,1
22,E14000552,Bedford,43.0138893127441,43.3204383850098,9.74186611175537,3.92380714416504,30.8880811689044,30.5561054071273,9.51190952949011,8.06195980188827,labour,con,0
23,E14000553,Bermondsey and Old Southwark,16.5111312866211,54.1209564208984,26.6092300415039,2.75867962837219,18.7420436362678,25.1948148255666,26.0274906678566,9.50605226101978,labour,libdem,0
24,E14000554,Berwick-upon-Tweed,56.8690795898438,21.6390781402588,18.1813869476318,3.31045603752136,37.9976851038291,17.1575519958957,11.2054343197566,12.344306380651,con,con,1
25,E14000555,Bethnal Green and Bow,10.7790365219116,72.7386856079102,9.72887229919434,6.75340986251831,17.753299761393,30.1233441022515,13.2304736152996,14.2177379016931,labour,labour,1
26,E14000556,Beverley and Holderness,62.1007804870605,23.9102001190186,8.72399234771729,5.26502561569214,33.7764582157745,25.8762508789108,10.2272287601556,10.8690660620418,con,con,1
27,E14000557,Bexhill and Battle,63.6115951538086,19.5133094787598,12.3195638656616,4.55553102493286,31.276978499327,15.3676175931583,19.1203031628494,13.3241403238877,con,con,1
28,E14000558,Bexleyheath and Crayford,59.7881927490234,29.4894332885742,6.51852178573608,4.20385694503784,29.361577430566,17.0641689637517,11.6452743570745,15.4168828796361,con,con,1
29,E14000559,Birkenhead,13.0879535675049,59.0375366210938,3.82716369628906,24.0473427772522,23.7257650670919,25.5092388632202,10.548322693053,15.8880535167108,labour,labour,1
30,E14000560,"Birmingham, Edgbaston",36.8621215820312,50.1252098083496,7.91202020645142,5.10064268112183,22.9154568011197,26.5876128894415,16.4957710848655,11.1313345276709,labour,labour,1
